age,identifier,region,human_verified_vsv
p1,M491,RSPv,23.68625894
p1,M491,RSPd,67.83637808
p1,M491,RSPagl,27.71485306
p1,M491,VISpm,143.2732327
p1,M491,VISam,30.44400318
p1,M491,VISa,0
p1,M491,VISrl,43.44082605
p1,M491,VISal,28.71644162
p1,M491,VISl,0
p1,M491,VISli,0
p1,M491,VISpl,0
p1,M491,VISpor,0
p3,M487,RSPv,6.585603113
p3,M487,RSPd,56.98346304
p3,M487,RSPagl,48.00486381
p3,M487,VISpm,136.3414397
p3,M487,VISam,15.20622568
p3,M487,VISa,23.21692607
p3,M487,VISrl,7.88229572
p3,M487,VISal,25.11867704
p3,M487,VISl,38.07782101
p3,M487,VISli,0
p3,M487,VISpl,0
p3,M487,VISpor,0
p3,M488,RSPv,6.105349122
p3,M488,RSPd,90.29032258
p3,M488,RSPagl,90.94650878
p3,M488,VISpm,168.2837893
p3,M488,VISam,32.58881176
p3,M488,VISa,9.029399755
p3,M488,VISrl,3.018374847
p3,M488,VISal,6.064924459
p3,M488,VISl,9.006941609
p3,M488,VISli,4.460596162
p3,M488,VISpl,0
p3,M488,VISpor,0
p3,M496,RSPv,45.08032491
p3,M496,RSPd,110.7635379
p3,M496,RSPagl,142.0803249
p3,M496,VISpm,144.5947653
p3,M496,VISam,41.07400722
p3,M496,VISa,0
p3,M496,VISrl,1.616425993
p3,M496,VISal,5.662454874
p3,M496,VISl,64.63447653
p3,M496,VISli,0
p3,M496,VISpl,0
p3,M496,VISpor,18.87815884
p3,M729,RSPv,11.67055961
p3,M729,RSPd,20.21411192
p3,M729,RSPagl,37.04817518
p3,M729,VISpm,30.76739659
p3,M729,VISam,28.48467153
p3,M729,VISa,47.11678832
p3,M729,VISrl,0
p3,M729,VISal,6.81216545
p3,M729,VISl,19.5620438
p3,M729,VISli,1.233576642
p3,M729,VISpl,0
p3,M729,VISpor,0.8301703163
p3,M730,RSPv,5.037875061
p3,M730,RSPd,61.35858337
p3,M730,RSPagl,57.17363502
p3,M730,VISpm,176.4899164
p3,M730,VISam,22.56861781
p3,M730,VISa,17.72306936
p3,M730,VISrl,11.85194294
p3,M730,VISal,28.00688637
p3,M730,VISl,4.11559272
p3,M730,VISli,0.435809149
p3,M730,VISpl,0
p3,M730,VISpor,0
p12,M677,RSPv,46.74770642
p12,M677,RSPd,102.3899083
p12,M677,RSPagl,162.4587156
p12,M677,VISpm,678.2477064
p12,M677,VISam,189.8623853
p12,M677,VISa,29.02752294
p12,M677,VISrl,978.3348624
p12,M677,VISal,1860.495413
p12,M677,VISl,881.9174312
p12,M677,VISli,865.1697248
p12,M677,VISpl,0
p12,M677,VISpor,0
p12,M678,RSPv,16.06770833
p12,M678,RSPd,87.34895833
p12,M678,RSPagl,67.27604167
p12,M678,VISpm,192.734375
p12,M678,VISam,519.3229167
p12,M678,VISa,22.83854167
p12,M678,VISrl,769.6770833
p12,M678,VISal,973.6875
p12,M678,VISl,1268.348958
p12,M678,VISli,1427.28125
p12,M678,VISpl,0
p12,M678,VISpor,24.34895833
p12,M704,RSPv,27.50531915
p12,M704,RSPd,247.3989362
p12,M704,RSPagl,273.5478723
p12,M704,VISpm,609.9069149
p12,M704,VISam,81.67553191
p12,M704,VISa,146.106383
p12,M704,VISrl,756.5611702
p12,M704,VISal,434.6356383
p12,M704,VISl,1298.215426
p12,M704,VISli,387.2207447
p12,M704,VISpl,0
p12,M704,VISpor,245.981383
p12,M705,RSPv,91.80540541
p12,M705,RSPd,301.0675676
p12,M705,RSPagl,258.8810811
p12,M705,VISpm,205.6648649
p12,M705,VISam,697.4918919
p12,M705,VISa,90.79459459
p12,M705,VISrl,417.1783784
p12,M705,VISal,99.18378378
p12,M705,VISl,1311.867568
p12,M705,VISli,219.972973
p12,M705,VISpl,0
p12,M705,VISpor,231.2837838
p20,M648,RSPv,0
p20,M648,RSPd,97.85714286
p20,M648,RSPagl,391.1530612
p20,M648,VISpm,813.2857143
p20,M648,VISam,519.7244898
p20,M648,VISa,179.4285714
p20,M648,VISrl,171.7857143
p20,M648,VISal,384.755102
p20,M648,VISl,185.2653061
p20,M648,VISli,57.8877551
p20,M648,VISpl,0
p20,M648,VISpor,0
p20,M649,RSPv,6.411585366
p20,M649,RSPd,101.6234756
p20,M649,RSPagl,190.5518293
p20,M649,VISpm,449.1463415
p20,M649,VISam,110.0396341
p20,M649,VISa,48.09603659
p20,M649,VISrl,20.87195122
p20,M649,VISal,329.3170732
p20,M649,VISl,183.410061
p20,M649,VISli,80.2027439
p20,M649,VISpl,0
p20,M649,VISpor,11.45579268
p20,M712,RSPv,0
p20,M712,RSPd,88.49473684
p20,M712,RSPagl,89.06315789
p20,M712,VISpm,0
p20,M712,VISam,923.3157895
p20,M712,VISa,10.92631579
p20,M712,VISrl,132.3684211
p20,M712,VISal,740.3052632
p20,M712,VISl,0
p20,M712,VISli,0
p20,M712,VISpl,0
p20,M712,VISpor,0
p20,M715,RSPv,46.96858639
p20,M715,RSPd,258.8376963
p20,M715,RSPagl,201.5183246
p20,M715,VISpm,760.4921466
p20,M715,VISam,86.17277487
p20,M715,VISa,58.38219895
p20,M715,VISrl,272.591623
p20,M715,VISal,168.7172775
p20,M715,VISl,1768.293194
p20,M715,VISli,379.3769634
p20,M715,VISpl,0
p20,M715,VISpor,168.4397906
adult,M608,RSPv,25.39
adult,M608,RSPd,213.12
adult,M608,RSPagl,282.77
adult,M608,VISpm,370.10
adult,M608,VISam,75.74
adult,M608,VISa,0.00
adult,M608,VISrl,804.18
adult,M608,VISal,0.00
adult,M608,VISl,148.99
adult,M608,VISli,40.30
adult,M608,VISpl,0
adult,M608,VISpor,21.57565789
adult,M609,RSPv,0.00
adult,M609,RSPd,0.45
adult,M609,RSPagl,2.18
adult,M609,VISpm,58.23
adult,M609,VISam,49.79
adult,M609,VISa,26.98
adult,M609,VISrl,10.44
adult,M609,VISal,48.93
adult,M609,VISl,204.41
adult,M609,VISli,1.87
adult,M609,VISpl,0
adult,M609,VISpor,0
adult,M610,RSPv,20.40
adult,M610,RSPd,46.68
adult,M610,RSPagl,40.80
adult,M610,VISpm,0.00
adult,M610,VISam,117.65
adult,M610,VISa,427.25
adult,M610,VISrl,0.00
adult,M610,VISal,280.99
adult,M610,VISl,612.92
adult,M610,VISli,91.13
adult,M610,VISpl,0
adult,M610,VISpor,7.438875306
